Taxon,counts,CommonName,tms
Scolymia australis,2,Scolymia,"Scolymia,King George Sound (Western Australia),List of marine animals of Australia (temperate waters),List of least concern invertebrates,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates,List of the Cenozoic life of Florida,List of data deficient invertebrates"
Scolymia vitiensis,2,Scolymia,"Scolymia,List of near threatened invertebrates,IUCN Red List near threatened species (Animalia),List of data deficient invertebrates"
Manta spp.,2,Giant oceanic manta ray,"Giant oceanic manta ray,Reef manta ray,List of species protected by CITES Appendix II,Marine reserve,Towboard,United States Southern Command,Rajiformes,Wildlife of Maldives,CITES,Cleaning station"
Myrmecophaga tridactyla,2,Giant anteater,"Giant anteater,Anteater,Southern tamandua,Myrmecophagidae,Protamandua,Silky anteater,Pilosa,Great American Interchange,Jaguar,Pantanal"
Galaxea fascicularis,2,Galaxea fascicularis,"Galaxea fascicularis,Galaxea,Aureisphaera galaxeae,Bulbonaricus davaoensis,Prauserella coralliicola,Acicular (crystal habit),IUCN Red List near threatened species (Animalia),List of corals of the Houtman Abrolhos,List of marine cnidarians of South Africa,List of near threatened invertebrates"
Arctocephalus pusillus,2,Brown fur seal,"Brown fur seal,Arctocephalus,Great white shark,Blue shark,Carnivora,Fur seal,Arctocephalus forsteri,Antarctic fur seal,List of carnivorans by population,Matutinal"
Ornithoptera meridionalis,2,Ornithoptera meridionalis,"Ornithoptera meridionalis,Ornithoptera paradisea,Ornithoptera,Ornithoptera richmondia,Queen Alexandra's birdwing,Ornithoptera goliath,Ornithoptera aesacus,Birdwing,Ornithoptera euphorion,Ornithoptera priamus"
Ornithoptera tithonus,2,Ornithoptera tithonus,"Ornithoptera tithonus,Ornithoptera,Tithonus (disambiguation),Queen Alexandra's birdwing,Ornithoptera richmondia,Ornithoptera aesacus,Ornithoptera paradisea,Ornithoptera euphorion,Ornithoptera goliath,Ornithoptera priamus"
Troides amphrysus,2,Troides amphrysus,"Troides amphrysus,Troides,Troides andromache,Troides cuneifera,Troides miranda,Birdwing,Troides helena,Troides darsius,Troides aeacus,Troides minos"
Troides criton,2,Troides criton,"Troides criton,Troides,Troides plato,Troides riedeli,Troides darsius,Troides staudingeri,Troides haliphron,Troides vandepolli,Troides helena,Troides aeacus"
Troides haliphron,2,Troides haliphron,"Troides haliphron,Troides darsius,Troides,Birdwing,Troides plato,Troides riedeli,Troides staudingeri,Troides criton,Troides vandepolli,Troides helena"
Troides helena,2,Troides helena,"Troides helena,Troides aeacus,Troides,Troides minos,Troides darsius,Birdwing,Troides oblongomaculatus,Troides rhadamantus,Aristolochia tagala,List of butterflies of India (Papilionidae)"
Troides hypolitus,2,Troides hypolitus,"Troides hypolitus,Troides,Troides aeacus,Troides darsius,Troides helena,Birdwing,Troides minos,Troides rhadamantus,Queen Alexandra's birdwing,Troides magellanus"
Troides oblongomaculatus,2,Troides oblongomaculatus,"Troides oblongomaculatus,Birdwing,Troides helena,Troides,Troides haliphron,Troides aeacus,Troides darsius,Troides minos,Troides rhadamantus,Queen Alexandra's birdwing"
Troides vandepolli,2,Troides vandepolli,"Troides vandepolli,Troides darsius,Troides haliphron,Troides,Troides staudingeri,Troides plato,Troides criton,Troides riedeli,Troides helena,Birdwing"
Echinophyllia aspera,2,Echinophyllia aspera,"Echinophyllia aspera,Echinophyllia,Madrepora aspera,Oxypora lacera,List of marine cnidarians of South Africa,List of corals of the Houtman Abrolhos,List of least concern invertebrates,List of data deficient invertebrates,List of vulnerable invertebrates,IUCN Red List vulnerable species (Animalia)"
Mycedium elephantotus,2,Teluk Cenderawasih National Park,"Teluk Cenderawasih National Park,List of corals of the Houtman Abrolhos,List of least concern invertebrates,List of data deficient invertebrates"
Oxypora spp.,2,Stony corals,"Coral reefs of Kiribati,Pectiniidae"
Syrmaticus reevesii,2,Reeves's pheasant,"Reeves's pheasant,Syrmaticus,Galliformes,List of animals by number of neurons,Columbus Zoo and Aquarium,List of birds of China,List of birds of Europe,List of endangered and protected species of China,List of birds of Metropolitan France,List of Galliformes by population"
Deroptyus accipitrinus,2,Red-fan parrot,"Red-fan parrot,List of birds of Brazil,List of birds of South America,Guadeloupe amazon,List of birds of Colombia,List of birds of Guyana,List of birds of Peru,List of birds of Ecuador,List of birds of Venezuela,List of birds of French Guiana"
Pionus fuscus,2,Pionus,"Pionus,Dusky parrot,Canaima National Park,Androglossini,List of birds of South America,List of birds of Brazil,List of birds of Colombia,List of birds of Africa,List of birds of Guyana,List of birds of Venezuela"
Poicephalus meyeri,2,Meyer's parrot,"Meyer's parrot,Poicephalus,List of birds of Kenya,List of birds of Ethiopia,List of birds of Angola,List of birds of South Africa,List of birds of Uganda,List of birds of Africa,List of birds of Namibia,List of birds of the Democratic Republic of the Congo"
Antaresia maculosa,2,Spotted python,"Spotted python,Antaresia,Pygmy python,List of pythonid species and subspecies,List of snakes by scientific name,List of reptiles of Western Australia,List of least concern reptiles"
Aspidites melanocephalus,2,Black-headed python,"Black-headed python,Woma python,Aspidites,Snakes of Australia,Pythonidae,Melanocephalus,List of pythonid species and subspecies,Burke and Wills expedition,List of snakes by scientific name,Pseudonaja mengdeni"
Aspidites ramsayi,2,Woma python,"Woma python,Aspidites,Snakes of Australia,List of pythonid species and subspecies,Morelia imbricata,List of snakes by scientific name,List of endangered reptiles,Woma,List of reptiles of Western Australia,Edward Pierson Ramsay"
Liasis mackloti,2,Liasis mackloti,"Liasis mackloti,Liasis mackloti savuensis,Liasis,List of pythonid species and subspecies,Bluff Downs giant python,Columbus Zoo and Aquarium,White-lipped python,Ribozyviria,Daletvirus,List of snakes by scientific name"
Morelia clastolepis,2,Simalia clastolepis,"Simalia clastolepis,Amethystine python,List of pythonid species and subspecies,David G. Barker,Simalia tracyae,Simalia,List of snakes by scientific name"
Morelia nauta,2,Simalia nauta,"Simalia nauta,Amethystine python,Tanimbar Islands,List of pythonid species and subspecies,Simalia tracyae,David G. Barker,Simalia,List of snakes by scientific name,Shorts México,August 2011 in sports"
Pteroglossus aracari,2,Black-necked aracari,"Black-necked aracari,Collared aracari,Aracari,Chestnut-eared aracari,Curl-crested aracari,Green aracari,Fiery-billed aracari,Ivory-billed aracari,Red-necked aracari,Lettered aracari"
Rhea americana,2,Greater rhea,"Greater rhea,Rhea (bird),Darwin's rhea,Albizia lebbeck,List of largest birds,Rheidae,List of ratites,Tallest extant birds,Flightless bird,EMA"
Rhina ancylostoma,2,Rhina ancylostoma,"Rhina ancylostoma,Rhina,Wedgefish,False shark ray,List of marine aquarium fish species,List of threatened rays,List of critically endangered fishes,Port Phillip,List of marine fishes of South Africa,Tokyo Sea Life Park"
Rhynchobatus djiddensis,2,Giant guitarfish,"Giant guitarfish,Rhynchobatus,List of largest fish,Wedgefish,Great hammerhead,List of threatened rays,List of critically endangered fishes,Kagoshima Aquarium,Fauna of Madagascar,Polyomaviridae"
Tylototriton shanjing,2,Tylototriton shanjing,"Tylototriton shanjing,Tylototriton,Tylototriton uyenoi,Tylototriton panhai,Neurergus kaiseri,Red-tailed knobby newt,Salamandridae,IUCN Red List near threatened species (Animalia),List of near threatened amphibians"
Athene noctua,2,Little owl,"Little owl,Owl of Athena,Noctua (company),Athene (bird),Jerboa,Owl,Spotted owlet,Common buzzard,Eurasian tree sparrow,Long-eared owl"
Hippocampus comes,2,Seahorse,"Seahorse,Hippocampus,Tiger tail seahorse,Hippocampus anatomy,Limbic system,Barbour's seahorse,Short-snouted seahorse,Tiger tail,List of threatened species of the Philippines,Theodore Cantor"
Chersina angulata,2,Angulate tortoise,"Angulate tortoise,Tortoise,Verreaux's eagle,Nature's Valley,Karoo Desert National Botanical Garden,Table Bay Nature Reserve,Homopus areolatus,Biodiversity of Cape Town,Rietvlei Wetland Reserve,Fernkloof Nature Reserve"
Indotestudo elongata,2,Elongated tortoise,"Elongated tortoise,Indotestudo,Forsten's tortoise,Tortoise,Wildlife of Nepal,List of endangered animals in India,List of species native to Thailand,Travancore tortoise,List of reptiles of China,Wildlife of Cambodia"
Kinixys spekii,2,Speke's hinge-back tortoise,"Speke's hinge-back tortoise,Kinixys,Tortoise,Bell's hinge-back tortoise,John Hanning Speke,Martial eagle,Dietary biology of the Nile crocodile,List of reptiles of the Democratic Republic of the Congo,Joan Beauchamp Procter,List of reptiles of Africa"
Aphonopelma albiceps,2,Brachypelma albiceps,"Brachypelma albiceps,Aphonopelma,List of species protected by CITES Appendix II,List of Theraphosidae species,Brachypelma,Tliltocatl verdezi"
Brachypelma kahlenbergi,2,Tliltocatl kahlenbergi,"Tliltocatl kahlenbergi,Tliltocatl,List of Theraphosidae species"
Poecilotheria ornata,2,Poecilotheria ornata,"Poecilotheria ornata,Poecilotheria,Poecilotheria fasciata,List of Theraphosidae species,List of tarantulas of Sri Lanka,List of spiders of Sri Lanka,Uperodon nagaoi,Pathophysiology of spider bites,IUCN Red List critically endangered species (Animalia),List of critically endangered invertebrates"
Poecilotheria subfusca,2,Poecilotheria subfusca,"Poecilotheria subfusca,Poecilotheria,List of Theraphosidae species,List of tarantulas of Sri Lanka,List of spiders of Sri Lanka,Uperodon nagaoi"
Cycloderma aubryi,2,Aubry's flapshell turtle,"Aubry's flapshell turtle,Cycloderma,List of species protected by CITES Appendix II,Turtle classification,List of reptiles of the Democratic Republic of the Congo,List of reptiles of Africa,IUCN Red List vulnerable species (Animalia)"
Tubipora musica,2,Organ pipe coral,"Organ pipe coral,Tubipora,List of endangered species in Pakistan,Alcyonacea,Octocorallia,Vermes in the 10th edition of Systema Naturae,Phyllodesmium colemani,Organ Pipes,IUCN Red List near threatened species (Animalia),Karimunjawa National Park"
Varanus beccarii,2,Black tree monitor,"Black tree monitor,Monitor lizard,Varanus (Hapturosaurus),Komodo dragon,Bengal monitor,Beccarii,Varanus salvadorii,Megalania,List of largest extant lizards,Perentie"
Varanus boehmei,2,Golden-spotted tree monitor,"Golden-spotted tree monitor,Monitor lizard,Varanus (Hapturosaurus),Varanus macraei,Waigeo,Emerald tree monitor,List of data deficient reptiles,List of reptiles of South Asia,List of reptiles of Morocco,List of reptiles of Thailand"
Varanus doreanus,2,Blue-tailed monitor,"Blue-tailed monitor,Monitor lizard,Komodo dragon,Megalania,Varanus yuwonoi,Bengal monitor,Finsch's monitor,Varanus salvadorii,List of largest extant lizards,Desert monitor"
Varanus gilleni,2,Pygmy mulga monitor,"Pygmy mulga monitor,Monitor lizard,Komodo dragon,Megalania,Bengal monitor,Varanus salvadorii,Desert monitor,Asian water monitor,Savannah monitor,Rock monitor"
Varanus kingorum,2,Kings' monitor,"Kings' monitor,Monitor lizard,Pilbara rock monitor,Varanus (Odatria),Goanna,List of reptiles of Western Australia"
Varanus ornatus,2,Ornate monitor,"Ornate monitor,Monitor lizard,Nile monitor,West African Nile monitor,List of reptiles of Western Australia,List of reptiles of the Democratic Republic of the Congo,List of reptiles of Pakistan,List of fauna of Rivers State,François Marie Daudin,List of marine reptiles"
Varanus panoptes,2,Yellow-spotted monitor,"Yellow-spotted monitor,Argus Panoptes,Monitor lizard,Komodo dragon,Sand goanna,Megalania,Bengal monitor,List of largest extant lizards,Varanus salvadorii,Perentie"
Varanus varius,2,Lace monitor,"Lace monitor,Monitor lizard,Megalania,List of largest extant lizards,Komodo dragon,Varanidae,Varanus salvadorii,Bengal monitor,Perentie,Asian water monitor"
Antilope cervicapra,2,Blackbuck,"Blackbuck,Antilope,Antelope,List of Indian state animals,Thar Desert,Eastern Ghats,Antilopinae,Deccan Plateau,Maduvu,List of Indian state symbols"
Graptemys oculifera,2,Graptemys,"Graptemys,Ringed map turtle,Pearl River map turtle,Black-knobbed map turtle,List of reptiles of North America,Yellow-blotched map turtle,List of endangered species in North America,List of threatened reptiles and amphibians of the United States,Deirochelyinae,List of vulnerable reptiles"
Graptemys ouachitensis,2,Ouachita map turtle,"Ouachita map turtle,Graptemys,Common snapping turtle,List of reptiles of North America,List of reptiles of Texas,Deirochelyinae,List of reptiles of Alabama,List of reptiles of Minnesota,List of least concern reptiles,List of reptiles of Iowa"
Pterapogon kauderni,2,Banggai cardinalfish,"Banggai cardinalfish,Apogonidae,Banggai Islands Regency,Bangkulu Island,List of marine aquarium fish species,List of endangered fishes,IUCN Red List endangered species (Animalia)"
Elaphe taeniura,2,Beauty rat snake,"Beauty rat snake,Elaphe,Japanese rat snake,Ryukyu Islands,List of reptiles of Japan,Ten Deadliest Snakes with Nigel Marven,List of reptiles of Korea,List of reptiles of China,List of snakes by scientific name,List of snakes of South Asia (Colubridae)"
Ptyas korros,2,Ptyas korros,"Ptyas korros,Ptyas,Banded krait,Erawan National Park,List of snakes by scientific name,Rat snake,List of reptiles of Singapore,List of reptiles of Sumatra,List of snakes of South Asia (Colubridae),List of reptiles of Thailand"
Tribolonotus gracilis,2,Red-eyed crocodile skink,"Red-eyed crocodile skink,Tribolonotus,T. gracilis,Plasmodium gracilis,Plasmodium tribolonoti,List of Plasmodium species infecting reptiles,Circulus (zoology),List of least concern reptiles,Nelly de Rooij,List of data deficient reptiles"
Tribolonotus novaeguineae,2,White-eyed crocodile skink,"White-eyed crocodile skink,Tribolonotus,List of least concern reptiles,List of endemic reptiles of Papua New Guinea"
Ailurus fulgens,1,Red panda,"Red panda,Ailuridae,Sesamoid bone,Futa (red panda),Sorbus microphylla,Darjeeling,List of Indian state animals,Diergaarde Blijdorp,Giant panda,Caniformia"
Balaenoptera edeni,1,Bryde's whale,"Bryde's whale,Balaenoptera,Omura's whale,Blue whale,Rice's whale,Rorqual,Fin whale,Cetaceans of the Caribbean,Sei whale,Common minke whale"
Balaenoptera musculus,1,Blue whale,"Blue whale,Pygmy blue whale,Balaenoptera,List of whale vocalizations,Rorqual,Musculus,Fin whale,Bryde's whale,Cetaceans of the Caribbean,Animal"
Boa constrictor occidentalis,1,Boa constrictor occidentalis,"Boa constrictor occidentalis,Boa constrictor,Boa imperator,List of boine species and subspecies,List of species protected by CITES Appendix I,Sierra de los Agustinos,List of reptiles of Washington (state),Rectilinear locomotion,List of Wildlife Species at Risk (Canada),List of reptiles of North America"
Sanzinia madagascariensis,1,Sanzinia madagascariensis,"Sanzinia madagascariensis,Sanzinia,Sanziniinae,Pelvic spur,Spur (zoology),Nosy Komba ground boa,Principle of priority,Acrantophis madagascariensis,List of Latin and Greek words commonly used in systematic names,List of reptiles in Madagascar"
Capra falconeri megaceros,1,Kabul markhor,"Kabul markhor,Markhor,Capra (genus),United States Fish and Wildlife Service list of endangered mammals and birds,Pyrenean ibex,Nile lechwe,Alpine ibex,Wild goat,Goat,Nubian ibex"
Capricornis thar,1,Himalayan serow,"Himalayan serow,Thar,Serow,Mainland serow,Caprinae,List of Indian state animals,Northeast India,Mizoram,List of Indian state symbols,Eastern Himalayan subalpine conifer forests"
Cephalophus jentinki,1,Jentink's duiker,"Jentink's duiker,Cephalophus,List of even-toed ungulates by population,Yellow-backed duiker,Tufted deer,Zebra duiker,Ogilby's duiker,Bay duiker,United States Fish and Wildlife Service list of endangered mammals and birds,List of species protected by CITES Appendix I"
Ovis vignei,1,Urial,"Urial,Ovis,Mouflon,Caprinae,Ovis orientalis,Markhor,Dall sheep,Ustyurt Mountain sheep,Argali,Bighorn sheep"
Leontopithecus rosalia,1,Golden lion tamarin,"Golden lion tamarin,List of primates,Golden-headed lion tamarin,Lion tamarin,Brazilian real,List of primates by population,Callitrichidae,The World's 25 Most Endangered Primates,Menstrual synchrony,List of mammalian gestation durations"
Macaca silenus,1,Lion-tailed macaque,"Lion-tailed macaque,List of primates,List of primates by population,Silenus (disambiguation),Barbary macaque,Crab-eating macaque,Macaque,Primate,List of Old World monkey species,Bonnet macaque"
Caretta caretta,1,Loggerhead sea turtle,"Loggerhead sea turtle,Caretta, West Virginia,İztuzu Beach,Zakynthos Marine Park,Cheloniidae,Sea turtle,Alikanas,Golden ghost crab,Köyceğiz,List of reptiles of Greece"
Chelonia mydas,1,Green sea turtle,"Green sea turtle,Sea turtle,Turtle,Diego Garcia,Comoro Islands,Caroline Island,Cephalopod ink,Cheloniinae,Cheloniidae,Guam"
Cheloniidae spp.,1,List of species protected by CITES Appendix I,"List of species protected by CITES Appendix I,Green sea turtle,List of reptiles of Pakistan,Galápagos tortoise,Testudo (genus),Mata mata,Turtle,Desert tortoise,Chinese softshell turtle,Trionychidae"
Eretmochelys imbricata,1,Hawksbill sea turtle,"Hawksbill sea turtle,Sea turtle,List of national animals,Cheloniinae,Cheloniidae,Diego Garcia,Brazilian real,Turtling (hunting),Punta Cana,Guam"
Lepidochelys olivacea,1,Olive ridley sea turtle,"Olive ridley sea turtle,Kemp's ridley sea turtle,Sea turtle,Cheloniidae,American crocodile,Indian Ocean,Priyambada Mohanty Hejmadi,Marina Beach,Crab Island (Queensland),Sex-determination system"
Crocodylus intermedius,1,Orinoco crocodile,"Orinoco crocodile,Crocodylus,Saltwater crocodile,American crocodile,Nile crocodile,Crocodile,Crocodylinae,Mecistops,Cuban crocodile,West African crocodile"
Sotalia guianensis,1,Guiana dolphin,"Guiana dolphin,Tucuxi,Sotalia,Oceanic dolphin,Boto,Cetaceans of the Caribbean,Electroreception and electrogenesis,Platypus,Amazon river dolphin,River dolphin"
Sousa chinensis,1,Indo-Pacific humpback dolphin,"Indo-Pacific humpback dolphin,Indian Ocean humpback dolphin,Noise pollution,Pink dolphin,Oceanic dolphin,Baiji,Irrawaddy dolphin,List of endangered species in Pakistan,Indian Ocean,S. chinensis"
Terrapene coahuila,1,Box turtle,"Box turtle,Coahuilan box turtle,Polnareff turtle,Columbus Zoo and Aquarium,List of species protected by CITES Appendix I,List of endangered species in North America,Emydinae,List of endangered reptiles,Glyptemys,IUCN Red List endangered species (Animalia)"
Equus grevyi,1,Grévy's zebra,"Grévy's zebra,Zebra,Horse,Equus (genus),Zebroid,Equidae,Quagga,Odd-toed ungulate,Tail,Plains zebra"
Leopardus geoffroyi,1,Geoffroy's cat,"Geoffroy's cat,Leopardus,Oncilla,Felinae,Leopardus guttulus,Campos del Tuyú National Park,Ocelot,Pampas cat,Margay,List of felids"
Leopardus tigrinus,1,Oncilla,"Oncilla,Leopardus guttulus,Leopardus,Lençóis Maranhenses National Park,Felinae,Nepetalactone,Ocelot,Felid hybrid,Pampas cat,Margay"
Leopardus wiedii,1,Margay,"Margay,Leopardus,Ocelot,Felidae,Felinae,Leopardus guttulus,Harpy eagle,Pampas cat,Felid hybrid,Oncilla"
Panthera onca,1,Jaguar,"Jaguar,South American jaguar,North American jaguar,Panthera onca mesembrina,American lion,Panthera,Panthera onca augusta,Panthera gombaszoegensis,Black panther,Big cat"
Carduelis cucullata,1,Red siskin,"Red siskin,Venezuelan bolívar,Rupununi,Zulia,List of species protected by CITES Appendix I,List of birds of Trinidad and Tobago,List of birds of Victoria, Australia,List of birds of South America,List of birds of Australia,List of birds of South Australia"
Gavialis gangeticus,1,Gharial,"Gharial,Gavialis,Gavialidae,Crocodilia,Chambal River,Mugger crocodile,List of largest reptiles,Ganges,Ghara,Gavialis browni"
Pangshura tecta,1,Indian roofed turtle,"Indian roofed turtle,Pangshura,Ganges,Indian tent turtle,List of species protected by CITES Appendix I,Shuklaphanta National Park,Kachuga,Madras Crocodile Bank Trust,List of reptiles of Nepal,List of least concern reptiles"
Brachylophus bulabula,1,Brachylophus bulabula,"Brachylophus bulabula,Brachylophus,Iguanidae,Iguana,Brachylophus fasciatus,Chuckwalla,Green iguana,Marine iguana,Fiji crested iguana,Geography of Fiji"
Brachylophus fasciatus,1,Brachylophus fasciatus,"Brachylophus fasciatus,Brachylophus,Brachylophus bulabula,Iguanidae,Vanuatu,Brachylophus gibbonsi,Fiji crested iguana,List of endangered reptiles,Fiji tropical moist forests,DierenPark Amersfoort"
Cyclura cornuta,1,Rhinoceros iguana,"Rhinoceros iguana,Mona ground iguana,Cyclura cornuta onchiopsis,Cyclura,List of largest extant lizards,Navassa Island,Iguanidae,List of endangered species in North America,Cyclura ricordii,Lake Enriquillo"
Propithecus coquereli,1,Coquerel's sifaka,"Coquerel's sifaka,Sifaka,List of primates,Indriidae,Lemur,Kratt brothers,List of lemur species,Verreaux's sifaka,Jovian (lemur),Silky sifaka"
Propithecus verreauxi,1,Verreaux's sifaka,"Verreaux's sifaka,Sifaka,Coquerel's sifaka,Lemur,Indriidae,Golden-crowned sifaka,Ring-tailed lemur,Silky sifaka,List of lemur species,Clitoris"
Nycticebus pygmaeus,1,Pygmy slow loris,"Pygmy slow loris,Slow loris,Sunda slow loris,Bengal slow loris,? Nycticebus linglom,Loris,Traditional medicine,Nycticebus kayan,List of primates,Javan slow loris"
Manis gigantea,1,Giant pangolin,"Giant pangolin,Manis,M. gigantea,Smutsia,Pangolin,Kakum National Park,Pangolin (disambiguation),Chinese pangolin,Indian pangolin,Manidae"
Aonyx cinerea,1,Asian small-clawed otter,"Asian small-clawed otter,Aonyx,Otter,Smooth-coated otter,Sundarbans,List of organisms by chromosome count,African clawless otter,Mount Kinabalu,List of endangered animals in India,Aonyx capensis capensis"
Chlamydotis macqueenii,1,MacQueen's bustard,"MacQueen's bustard,Chlamydotis,Bustard,Houbara bustard,Great bustard,Sand cat,Kyzylkum Desert,Thomas MacQueen,Bird migration,List of birds of Pakistan"
Pelecanus crispus,1,Dalmatian pelican,"Dalmatian pelican,Pelican,European perch,Largest living flying birds by wingspan,List of largest birds,Danube Delta,Kori bustard,Andean condor,List of endangered species in Pakistan,Wadden Sea"
Polyplectron napoleonis,1,Palawan peacock-pheasant,"Palawan peacock-pheasant,Peacock-pheasant,Malayan peacock-pheasant,List of birds of the Philippines,List of species protected by CITES Appendix I,List of Galliformes by population,List of endemic birds of the Philippines,List of birds of Asia,IUCN Red List vulnerable species (Animalia),List of Galliformes"
Platysternon megacephalum,1,Big-headed turtle,"Big-headed turtle,List of Testudines families,Turtle,Emydidae,Chiang Dao Wildlife Sanctuary,Kinosternoidea,List of endangered reptiles,List of reptiles of China,List of sequenced animal genomes,List of endangered and protected species of China"
Amazona auropalliata,1,Yellow-naped amazon,"Yellow-naped amazon,Yellow-crowned amazon,List of amazon parrots,Yellow-headed amazon,Amazon parrot,Talking bird,List of Psittaciformes by population,List of species protected by CITES Appendix I,Androglossini,List of birds of Jamaica"
Amazona finschi,1,Lilac-crowned amazon,"Lilac-crowned amazon,Nayarit,List of amazon parrots,Talking bird,Feral parrot,Thick-billed parrot,List of species protected by CITES Appendix I,List of Psittaciformes by population,Androglossini,List of birds of Mexico"
Guarouba guarouba,1,Golden parakeet,"Golden parakeet,Conure,List of species protected by CITES Appendix I,Byrsonima,Spix's macaw,Sulphur-breasted parakeet,Parrot,Uruçui-Una Ecological Station,Apiacás Ecological Reserve,Birds International"
Primolius maracana,1,Blue-winged macaw,"Blue-winged macaw,Primolius,List of macaws,Macaw,Mini-macaw,Arini (tribe),List of species protected by CITES Appendix I,Cuban macaw,List of Psittaciformes by population,List of birds of South America"
Leucopsar rothschildi,1,Bali myna,"Bali myna,Indonesia,Myna,Crested myna,Hoopoe starling,Diergaarde Blijdorp,Columbus Zoo and Aquarium,List of Indonesian endemic animals,List of species protected by CITES Appendix I,Fauna of Indonesia"
Tapirus indicus,1,Malayan tapir,"Malayan tapir,Tapirus,Tapir,South American tapir,Odd-toed ungulate,Penis,List of odd-toed ungulates by population,Malay Peninsula,T. indicus,Mo (Chinese zoology)"
Chelonoidis niger,1,Galápagos tortoise,"Galápagos tortoise,Chelonoidis niger guentheri,Chelonoidis,Fernandina Island Galápagos tortoise,Chelonoidis niger microphyes,Chelonoidis niger chathamensis,Chelonoidis niger donfaustoi,Floreana giant tortoise,Chelonoidis niger vandenburghi,List of subspecies of Galápagos tortoise"
Geronticus eremita,1,Northern bald ibis,"Northern bald ibis,Geronticus,Southern bald ibis,Ibis,List of European animals extinct in the Holocene,Threskiornithidae,Hoopoe,List of birds of Egypt,Souss-Massa National Park,List of Asian animals extinct in the Holocene"
Trichechus manatus,1,West Indian manatee,"West Indian manatee,Manatee,Sirenia,Trichechidae,Trichechus hesperamazonicus,Marine mammal,Amazonian manatee,List of national animals,African manatee,List of placental mammals"
Ursus thibetanus,1,Asian black bear,"Asian black bear,Ussuri black bear,Himalayan black bear,Japanese black bear,Formosan black bear,Balochistan black bear,Brown bear,Ursus (mammal),Sun bear,Yeti"
Shinisaurus crocodilurus,1,Chinese crocodile lizard,"Chinese crocodile lizard,Squamata,Anguimorpha,Diergaarde Blijdorp,EDGE species,List of species protected by CITES Appendix I,Crocodile lizard,List of reptiles of China,List of endangered reptiles,List of endangered and protected species of China"
Aquila nipalensis,1,Steppe eagle,"Steppe eagle,Aquila (bird),Eastern imperial eagle,List of national birds,Greater spotted eagle,Mountain hawk-eagle,Aquilinae,Common buzzard,Cinereous vulture,Tigray Region"
Buteo jamaicensis,1,Red-tailed hawk,"Red-tailed hawk,Buteo,Hawk,Harlan's hawk,Buzzard,Common buzzard,Eastern red-tailed hawk,Falconry,Jamaican red-tailed hawk,Krider's hawk"
Gypaetus barbatus,1,Bearded vulture,"Bearded vulture,Vulture,Cinereous vulture,Himalayan vulture,Griffon vulture,Old World vulture,List of birds by flight heights,Turkey vulture,Egyptian vulture,Andean condor"
Gypohierax angolensis,1,Palm-nut vulture,"Palm-nut vulture,Vulture,Eagle,Old World vulture,Turkey vulture,Bearded vulture,Andean condor,Accipitriformes,Black vulture,Griffon vulture"
Gyps himalayensis,1,Himalayan vulture,"Himalayan vulture,Gyps,Vulture,Indian vulture,Cinereous vulture,Indian vulture crisis,Griffon vulture,Slender-billed vulture,White-rumped vulture,Rüppell's vulture"
Gyps rueppellii,1,Rüppell's vulture,"Rüppell's vulture,Griffon vulture,Gyps,Indian vulture,Vulture,Slender-billed vulture,Cinereous vulture,Himalayan vulture,White-rumped vulture,Indian vulture crisis"
Haliaeetus leucocephalus,1,Bald eagle,"Bald eagle,Sea eagle,Águia Vitória,White-tailed eagle,Endangered species,Osprey,List of national birds,List of national animals,Bird of Washington,Smokin' Aces 2: Assassins' Ball"
Hieraaetus spilogaster,1,African hawk-eagle,"African hawk-eagle,Hieraaetus,Bonelli's eagle,Aquila (bird),Eagle,Aquilinae,Booted eagles,Wildlife of the Gambia,Golden eagle,List of birds of South Africa"
Stephanoaetus coronatus,1,Crowned eagle,"Crowned eagle,Stephanoaetus,Chaco eagle,Eagle,Aquilinae,Accipitridae,Martial eagle,Tropical rainforest,Accipiter,Mountain hawk-eagle"
Acropora cervicornis,1,Staghorn coral,"Staghorn coral,Acropora,Coral,Punta Cana,Florida Reef,Cnidaria,Yucatán Channel,White band disease,San Salvador Island,Looe Key"
Acropora digitifera,1,Acropora digitifera,"Acropora digitifera,Acropora,List of sequenced animal genomes,Symbiodinium,List of postage stamps of India (2000–2004),C1orf21,Marine wildlife of Baa Atoll,Symbiosome,List of corals of the Houtman Abrolhos,Chromera velia"
Acropora nana,1,Acropora,"Acropora,List of marine cnidarians of South Africa,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates,List of data deficient invertebrates,List of vulnerable invertebrates,IUCN Red List vulnerable species (Animalia),List of critically endangered invertebrates,IUCN Red List critically endangered species (Animalia),Symbiodinium"
Acropora palmata,1,Elkhorn coral,"Elkhorn coral,Acropora,Staghorn coral,San Salvador Island,White pox disease,Punta Cana,Bay of Pigs,White band disease,Serratia marcescens,Fragmentation (reproduction)"
Acropora prolifera,1,Acropora prolifera,"Acropora prolifera,Acropora,Madrepora prolifera,Staghorn coral,Punta Cana,Elkhorn coral,2019 in paleontology,Reef aquarium,List of the prehistoric life of Florida,List of the Cenozoic life of Florida"
Acropora spathulata,1,Acropora,"Acropora,List of least concern invertebrates,List of the Cenozoic life of Florida"
Gardineroseris planulata,1,Agariciidae,"Agariciidae,Utría National Natural Park,Liquid Jungle Lab,List of marine cnidarians of South Africa,List of the prehistoric life of Hawaii,List of least concern invertebrates"
